出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
55916162,24591219,20806,1853,NULL,NULL,14523,12167
55916162,80473,21652,2041,NULL,NULL,14053,11699
55916162,10524119,17922,1604,NULL,NULL,10924,9119
55916162,28408248,41118,2269,NULL,NULL,40019,31160
55916162,52075446,81701,4004,NULL,NULL,74938,56715
55916162,75615,22477,1884,NULL,NULL,13009,10676
55916162,75624,52348,3660,NULL,NULL,48696,36909
55916162,75611,19102,1683,NULL,NULL,12470,10528
55916162,75627,21341,1982,NULL,NULL,13731,11470
55916162,13412802,53124,3054,NULL,NULL,40000,31211
80719,86058,10741,1502,NULL,NULL,8177,6633
80719,91002,15658,1592,NULL,NULL,11444,9267
80719,76790,16231,1683,NULL,NULL,12829,10761
80719,55916162,33225,2431,NULL,NULL,22452,18149
80719,81728,26558,2372,NULL,NULL,23423,19249
80719,29950533,21238,1840,NULL,NULL,18746,14182
80719,10559194,46188,3767,NULL,NULL,41587,31512
80719,76144,13188,1494,NULL,NULL,11494,9297
80719,10524093,11380,1345,NULL,NULL,9761,7741
80719,24591219,12155,1466,NULL,NULL,8551,6914
80719,80473,11475,1672,NULL,NULL,9171,7337
80719,10524119,13451,1644,NULL,NULL,11583,9517
80719,28408248,18791,1452,NULL,NULL,19241,14277
80719,52075446,59898,3408,NULL,NULL,54502,40435
80719,75615,11701,1416,NULL,NULL,9862,7819
80719,75624,35566,3107,NULL,NULL,28277,21221
80719,75611,12559,1452,NULL,NULL,10237,8317
80719,75627,13288,1655,NULL,NULL,9140,7254
80719,13412802,20026,1693,NULL,NULL,18730,14155
76790,86058,6105,702,NULL,NULL,4785,4261
76790,91002,2586,589,NULL,NULL,1978,1676
76790,80719,15575,1593,NULL,NULL,12829,10757
76790,55916162,12834,1481,NULL,NULL,9742,8003
76790,81728,14233,1354,NULL,NULL,11619,9915
76790,29950533,35792,2468,NULL,NULL,30630,24027
76790,10559194,33863,2749,NULL,NULL,32216,25463
76790,76144,3390,472,NULL,NULL,1910,1724
76790,10524093,4694,806,NULL,NULL,3683,3036
76790,24591219,6537,805,NULL,NULL,4844,4307
76790,80473,7383,993,NULL,NULL,4374,3839
76790,10524119,3653,556,NULL,NULL,1408,1284
76790,28408248,33345,2080,NULL,NULL,31100,24355
76790,52075446,74014,4103,NULL,NULL,65580,49421
76790,75615,4732,804,NULL,NULL,3816,3138
76790,75624,44534,3777,NULL,NULL,39351,30219
76790,75611,4833,635,NULL,NULL,2954,2693
76790,75627,7072,934,NULL,NULL,4052,3610
76790,13412802,34653,2349,NULL,NULL,30614,24000
91002,86058,5241,630,NULL,NULL,4050,3384
91002,76790,3085,494,NULL,NULL,1978,1644
91002,80719,14711,1437,NULL,NULL,11597,9077
91002,55916162,13327,1462,NULL,NULL,11217,9308
91002,81728,13510,1223,NULL,NULL,12485,10765
91002,29950533,34928,2316,NULL,NULL,29376,22431
91002,10559194,33140,2621,NULL,NULL,32860,25937
